image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"109055","109055-1",0.0614957,0.897539,0.816259,0.0796839,0.122577,2.16437,0.938504,1183.35,297.746,0.125103,0.779881,0.857386,26.8614,0.39036,0.186355,501,308.186,281.443
"109055","109055-2",0.0604076,0.953187,0.829229,0.0614431,0.120789,0.567426,0.939592,1183.35,297.746,0.125103,0.779881,0.827561,26.8614,0.39036,0.186355,501,308.186,281.443
"109055","109055-3",0.0181087,0.980551,0.916324,0.0336563,0.0362174,0.513323,0.981891,1183.35,297.746,0.125103,0.779881,0.530938,26.8614,0.39036,0.186355,501,308.186,281.443
"109055","109055-4",0.0362303,0.97206,0.885417,0.0472971,0.0724607,0.417161,0.96377,1183.35,297.746,0.125103,0.779881,0.677894,26.8614,0.39036,0.186355,501,308.186,281.443
"112056","112056-0",0.0131411,0.972248,0.973087,0.0535468,0.0257447,0.326461,0.986859,120.227,462.406,0.119875,0.956205,0.255333,9.18535,0.400632,0.181577,501,308.186,246.936
"112056","112056-1",0.0157318,0.971982,0.969948,0.0524805,0.0314052,1.21082,0.984268,120.227,462.406,0.119875,0.956205,0.306018,9.18535,0.400632,0.181577,501,308.186,246.936
"112056","112056-2",0.0302718,0.962345,0.930965,0.0769834,0.0605436,1.05,0.969728,120.227,462.406,0.119875,0.956205,0.452228,9.18535,0.400632,0.181577,501,308.186,246.936
"112056","112056-3",0.0140932,0.972261,0.966212,0.0517405,0.0281863,0.28348,0.985907,120.227,462.406,0.119875,0.956205,0.311232,9.18535,0.400632,0.181577,501,308.186,246.936
"112056","112056-4",0.0151489,0.972196,0.964015,0.0507056,0.0299933,0.303228,0.984851,120.227,462.406,0.119875,0.956205,0.318601,9.18535,0.400632,0.181577,501,308.186,246.936
"112090","112090-0",0.0935292,0.863194,0.890402,0.215797,0.183613,95.6143,0.906471,553.287,237.76,0.114039,0.913157,0.619709,21.2357,0.401073,0.181378,500,308.802,263.39
"112090","112090-1",0.066269,0.91546,0.90825,0.108414,0.129358,21.171,0.933731,553.287,237.76,0.114039,0.913157,0.556139,21.2357,0.401073,0.181378,500,308.802,263.39
